"RamDA_mESC_00h_A04"	"RamDA_mESC_00h_A05"	"RamDA_mESC_00h_A06"	"RamDA_mESC_00h_A07"	"RamDA_mESC_00h_A08"	"RamDA_mESC_00h_A09"	"RamDA_mESC_00h_A10"	"RamDA_mESC_00h_A11"	"RamDA_mESC_00h_A12"	"RamDA_mESC_00h_B01"	"RamDA_mESC_00h_B02"	"RamDA_mESC_00h_B03"	"RamDA_mESC_00h_B04"	"RamDA_mESC_00h_B05"	"RamDA_mESC_00h_B06"	"RamDA_mESC_00h_B07"	"RamDA_mESC_00h_B08"	"RamDA_mESC_00h_B09"	"RamDA_mESC_00h_B10"	"RamDA_mESC_00h_B11"	"RamDA_mESC_00h_B12"	"RamDA_mESC_00h_C01"	"RamDA_mESC_00h_C02"	"RamDA_mESC_00h_C03"	"RamDA_mESC_00h_C04"	"RamDA_mESC_00h_C05"	"RamDA_mESC_00h_C06"	"RamDA_mESC_00h_C07"	"RamDA_mESC_00h_C08"	"RamDA_mESC_00h_C09"	"RamDA_mESC_00h_C10"	"RamDA_mESC_00h_C11"	"RamDA_mESC_00h_D01"	"RamDA_mESC_00h_D02"	"RamDA_mESC_00h_D03"	"RamDA_mESC_00h_D04"	"RamDA_mESC_00h_D05"	"RamDA_mESC_00h_D06"	"RamDA_mESC_00h_D07"	"RamDA_mESC_00h_D08"	"RamDA_mESC_00h_D09"	"RamDA_mESC_00h_D10"	"RamDA_mESC_00h_D11"	"RamDA_mESC_00h_D12"	"RamDA_mESC_00h_E01"	"RamDA_mESC_00h_E02"	"RamDA_mESC_00h_E03"	"RamDA_mESC_00h_E04"	"RamDA_mESC_00h_E05"	"RamDA_mESC_00h_E06"	"RamDA_mESC_00h_E07"	"RamDA_mESC_00h_E08"	"RamDA_mESC_00h_E09"	"RamDA_mESC_00h_E10"	"RamDA_mESC_00h_E11"	"RamDA_mESC_00h_E12"	"RamDA_mESC_00h_F01"	"RamDA_mESC_00h_F02"	"RamDA_mESC_00h_F03"	"RamDA_mESC_00h_F04"	"RamDA_mESC_00h_F05"	"RamDA_mESC_00h_F06"	"RamDA_mESC_00h_F07"	"RamDA_mESC_00h_F08"	"RamDA_mESC_00h_F09"	"RamDA_mESC_00h_F10"	"RamDA_mESC_00h_F11"	"RamDA_mESC_00h_F12"	"RamDA_mESC_00h_G01"	"RamDA_mESC_00h_G02"	"RamDA_mESC_00h_G03"	"RamDA_mESC_00h_G04"	"RamDA_mESC_00h_G05"	"RamDA_mESC_00h_G06"	"RamDA_mESC_00h_G07"	"RamDA_mESC_00h_G08"	"RamDA_mESC_00h_G09"	"RamDA_mESC_00h_G10"	"RamDA_mESC_00h_G11"	"RamDA_mESC_00h_G12"	"RamDA_mESC_00h_H01"	"RamDA_mESC_00h_H02"	"RamDA_mESC_00h_H03"	"RamDA_mESC_00h_H04"	"RamDA_mESC_00h_H05"	"RamDA_mESC_00h_H06"	"RamDA_mESC_00h_H07"	"RamDA_mESC_00h_H08"	"RamDA_mESC_00h_H09"	"RamDA_mESC_00h_H10"	"RamDA_mESC_00h_H11"	"RamDA_mESC_00h_H12"	"RamDA_mESC_72h_A04"	"RamDA_mESC_72h_A05"	"RamDA_mESC_72h_A06"	"RamDA_mESC_72h_A07"	"RamDA_mESC_72h_A08"	"RamDA_mESC_72h_A09"	"RamDA_mESC_72h_A10"	"RamDA_mESC_72h_A11"	"RamDA_mESC_72h_A12"	"RamDA_mESC_72h_B01"	"RamDA_mESC_72h_B02"	"RamDA_mESC_72h_B03"	"RamDA_mESC_72h_B04"	"RamDA_mESC_72h_B05"	"RamDA_mESC_72h_B06"	"RamDA_mESC_72h_B07"	"RamDA_mESC_72h_B08"	"RamDA_mESC_72h_B09"	"RamDA_mESC_72h_B10"	"RamDA_mESC_72h_B11"	"RamDA_mESC_72h_B12"	"RamDA_mESC_72h_C01"	"RamDA_mESC_72h_C02"	"RamDA_mESC_72h_C03"	"RamDA_mESC_72h_C04"	"RamDA_mESC_72h_C05"	"RamDA_mESC_72h_C06"	"RamDA_mESC_72h_C07"	"RamDA_mESC_72h_C08"	"RamDA_mESC_72h_C09"	"RamDA_mESC_72h_C10"	"RamDA_mESC_72h_C11"	"RamDA_mESC_72h_C12"	"RamDA_mESC_72h_D01"	"RamDA_mESC_72h_D02"	"RamDA_mESC_72h_D03"	"RamDA_mESC_72h_D04"	"RamDA_mESC_72h_D05"	"RamDA_mESC_72h_D06"	"RamDA_mESC_72h_D07"	"RamDA_mESC_72h_D08"	"RamDA_mESC_72h_D09"	"RamDA_mESC_72h_D10"	"RamDA_mESC_72h_D11"	"RamDA_mESC_72h_D12"	"RamDA_mESC_72h_E01"	"RamDA_mESC_72h_E02"	"RamDA_mESC_72h_E03"	"RamDA_mESC_72h_E04"	"RamDA_mESC_72h_E05"	"RamDA_mESC_72h_E06"	"RamDA_mESC_72h_E07"	"RamDA_mESC_72h_E08"	"RamDA_mESC_72h_E09"	"RamDA_mESC_72h_E10"	"RamDA_mESC_72h_E11"	"RamDA_mESC_72h_E12"	"RamDA_mESC_72h_F01"	"RamDA_mESC_72h_F02"	"RamDA_mESC_72h_F03"	"RamDA_mESC_72h_F04"	"RamDA_mESC_72h_F05"	"RamDA_mESC_72h_F06"	"RamDA_mESC_72h_F07"	"RamDA_mESC_72h_F08"	"RamDA_mESC_72h_F09"	"RamDA_mESC_72h_F10"	"RamDA_mESC_72h_F11"	"RamDA_mESC_72h_F12"	"RamDA_mESC_72h_G01"	"RamDA_mESC_72h_G02"	"RamDA_mESC_72h_G03"	"RamDA_mESC_72h_G04"	"RamDA_mESC_72h_G05"	"RamDA_mESC_72h_G06"	"RamDA_mESC_72h_G07"	"RamDA_mESC_72h_G08"	"RamDA_mESC_72h_G09"	"RamDA_mESC_72h_G10"	"RamDA_mESC_72h_G11"	"RamDA_mESC_72h_G12"	"RamDA_mESC_72h_H01"	"RamDA_mESC_72h_H02"	"RamDA_mESC_72h_H03"	"RamDA_mESC_72h_H04"	"RamDA_mESC_72h_H05"	"RamDA_mESC_72h_H06"	"RamDA_mESC_72h_H07"	"RamDA_mESC_72h_H08"	"RamDA_mESC_72h_H09"	"RamDA_mESC_72h_H10"	"RamDA_mESC_72h_H11"	"RamDA_mESC_72h_H12"
"ENSMUST00000148663.1"	3.70066	2.95978	2.05152	1.17099	4.82197	2.4567	0.353141	0	0	3.89524	1.5079	2.35821	0.648314	2.62215	0.859189	0	0.596073	2.85608	0.3645	0	2.67122	4.06603	2.01872	2.8642	0	3.76981	2.43178	2.87493	0.911529	0	1.28315	0	1.50244	3.87578	2.36566	2.99819	0	3.17789	1.1022	2.03688	6.38652	4.89022	1.56907	1.09388	0.551597	0	4.69882	2.58724	4.72662	3.39109	8.80868	5.99854	0.378601	0.899609	6.68564	6.52598	2.37201	1.49158	2.31104	0.782102	1.25934	4.42256	3.77333	1.10558	1.60788	3.09811	0	6.33911	7.13182	7.30509	0	0	4.80136	0.777174	3.58915	5.86942	4.34965	2.01323	7.3852	11.3734	4.1287	3.59288	2.91565	2.68148	0.734393	2.64029	2.25595	4.12781	4.0932	2.88228	2.46299	2.03361	4.62915	2.83136	0.281024	3.49795	4.85899	3.3962	0.508001	5.78184	0	3.85252	0	1.87887	0.766542	0	4.91078	1.77299	0.757624	1.32106	0.352797	0.52481	5.9123	5.72439	7.17437	4.75601	1.03205	0	1.64052	1.27021	5.0143	0	6.36667	0.626508	5.25006	6.10131	0	6.69731	5.10992	1.4448	7.86482	2.30358	6.4781	4.4852	5.32051	2.3832	1.14939	0	7.22242	2.38687	1.77511	1.05275	0	0.79866	0	6.01395	5.91309	2.66911	2.68212	5.15069	5.99013	0.967466	1.08464	2.59061	6.3639	0.564165	1.46599	0	2.90747	2.63949	5.32304	6.28919	2.90191	7.45802	5.02035	10.9721	3.20184	2.68718	1.05391	3.02022	0.705222	2.11906	0.279967	0	0.701709	4.03079	12.1219	3.98359	0.71196	0	7.55173	1.80239	0	0.614655	6.21858
"ENSMUST00000148674.1"	0	0	0	0	0	0	0	0	1.16293	0	0	0	0	0.256431	0	0	0	0	0	0.656237	0	0	0	0	0.0488381	0	1.61045	0	0.972452	0	0	0	0	0	0	0	0.743623	0	0	0.944111	0.522307	0	0.994894	0	0.330403	0	0	0.608988	0	1.51278	1.28835	0	0	0	0	0	0	0.925751	0	0	0	0	0	0	0	0	0.698457	0	3.36292	0	0	0	0.105568	0	0.837601	0.836041	0.0246928	0	0	0	0	0	0	0	0	1.36941	0	0	0	0.677015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16629	0	0	0.977604	0	0	0	0	0	0	0.605757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.880009	0	0	0	0	0	0	0.843393	0	0	1.07524	0	0
"ENSMUST00000149022.7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57361e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000352908	0	0	0	0	0	1.31438e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.743152	0	0.427556	0	0	0	0	0	0	0	0	3.30319e-09	0	0	0	1.34744	0	0	3.33655e-07	0	0	0	0	0	0	0	0	0	0	0	0	0.832573	0	0	0	0	0	0	1.30584	0	0	0	0	0	0	0	0	0	0	0.000807308	0	0	0	0	0	0	0	0	0	0	0	1.17991	0	0	0	0	0	0.931217	0	1.6215	0	0	0	4.28654	0	0	0	0	0	0	0	5.03797	0	0	1.65264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUST00000149214.2"	2.7401	1.14679	0.439256	3.59463	0	0	0	1.26667	0	5.48214	2.69704	0	0	10.3852	0	0	0	0	0.500977	0	0	0.0957453	1.37539	0	0	0	0	4.13233	3.79263	1.71067	2.43689	0	2.53849	0.213416	0	0	0.386895	0.36218	0	0	0	0	0	2.54895	0	0	2.54626	2.76731	4.16869	0	0.691554	3.05994	0	0	0	5.25088	0.998297	0	5.56026	0	0.034093	0.233282	0	0	0	3.87815	2.78669	2.45433	0	0	0	0	0	0.897498	5.17094	0.833292	0.673576	1.01358	3.02687	0	0.983218	2.99241	0	0.430769	2.19616	0.832338	0	4.87991	1.67397	0.590329	0.059427	0.508846	0	0	2.35415	0	0	0	0.813952	0	0	5.50305	1.78031	0	6.31776	10.2751	0	0	0	0	0	2.75707	1.57981	1.9418	1.00364e-07	0	0	0.0579591	2.45065	5.03209	0	0	9.63503	0	1.09859	0	4.67368	2.18498	0	0.790909	0	3.91901	0.507645	5.05813	0	4.72023	1.18511	4.58799	4.59764	0	2.07548	2.61308	1.55533e-08	2.02037	3.82329	1.93867	0	1.42448	0.00886944	0.528964	9.35139	0	0	0	5.09739	0	0	0	2.09441	0.277663	0	0	0	1.14157e-05	0	0	2.96139	1.3736	0	4.00582	3.84579	0	8.25213	0	2.72602	8.89063	0	4.5827	0	0	1.22231	2.1482	14.5518	0.936671	3.43283
"ENSMUST00000149369.7"	7.40427	0	2.9028	0	0	0	2.84312	0	2.79075	0	4.56371	4.77558	2.452	0	0	0	0	0	0	3.79196	0	0	0	2.92229	0	0	0	2.58905	0	0.0324955	0	6.76923	1.65396	3.90821	0	2.42169	0	0	0	0	0	0	0	0	0	4.76145	1.13893	0	0	0	0	0.993236	0	0	0	0	0	0	0	3.14866	0	0	4.14201	0	0	0	0	0	0	0	0	3.92288	0	0	0	4.51537	6.11253	0.825322	0	0	0	0	0	0	0.349063	0	0	0	0	1.82787	0	0	0	0	0	3.97393	0	0	0	0	0	0	0	0	0	4.48186e-08	7.61926e-05	3.43819	0.187371	0	4.70219	0	0	0	0	4.91841e-09	8.08032e-08	0	0	0	1.97749	0	0	1.94437	0	2.45902	0	0	0	0	0	0	0	0	0	4.99332	5.29706	0	0	2.08146	0	0	3.70819	0	1.47116	0	1.45928	0	0	4.02392	2.18071	5.1486	0	0	0	0	0	0.776565	0	0	9.27479e-07	0	13.7505	0	6.51741	3.11484	0	1.16712	0	2.72653	0	3.56053	0	0.971041	4.30665	3.25236	0.2235	0	2.32612	0.264196	0	0	0	0	6.63912e-05
"ENSMUST00000150004.1"	1.41188	6.73759	5.98436	0	1.26138	0.750421	0	0	0	3.90589	0	0.713394	1.14778	1.94926	4.71764	1.36454	0	0.712548	0	2.60947	3.43641	1.32708	0	0	2.71363	0.62368	0	2.46923	1.22896	3.72958	0	0.665694	3.80487	0	5.1342	3.05547	0	0.697475	1.75217	0.624588	0	1.26565	0	5.15787	10.8008	2.54846	1.86885	0	0	2.24832	1.71722	0	0	3.85875	0	2.88628	3.53056	5.05176	0	0.614222	1.97647	0	0.656816	0	0.621672	1.67858	3.19244	6.42365	4.06653	2.11124	0	1.79455	0.67018	1.99024	0	0	1.29436	4.43428	1.21927	0.767229	6.85425	2.03949	0	3.32965	1.90271	1.26048	1.22106	1.31649	0	6.61749	0	0	2.19059	4.30048	14.744	2.19561	0	0	1.00119	0	0	7.55458	1.55385	0	1.36188	0.717312	9.5827	3.28315	3.02811	0	0.695803	4.77122	5.63742	4.42613	3.16481	2.30227	0	0.613869	1.90884	2.39567	3.58524	4.32129	2.11733	2.33084	0	2.10404	0.741873	6.69814	0	0	0.664199	0	2.36699	0	0.652114	1.32157	2.75228	1.437	0.753327	3.91098	3.60567	0	0	0.551358	2.60105	0	3.55692	4.02094	0.694514	0	1.26576	1.42586	3.52551	1.39384	1.95355	0.577906	0.821363	1.26138	4.09174	0	1.35941	3.39207	1.29275	15.9161	2.55279	1.56246	6.09838	0	4.49933	3.2338	3.95569	0.649882	9.24578	2.89055	1.70244	4.63742	3.27199	0	5.69307	0	2.85503	0	3.41455	0	0
"ENSMUST00000150487.1"	0	0	0	0	2.97279	0	0	0	0	0	0	0	0	0	0.556388	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71769	0	0	0	0	0	0	0	0	0	0	0	0	1.57564	1.87766	7.20029	4.39613	2.56638	0	0	0	3.47577	0	0	0	0	0	0	0	2.2747	0	2.66171	0	0	4.15133	0	0	0	12.0151	3.46366	0	0	0	0	0	0	7.18801	0	0	0	0	0	0	4.21447	0	2.90922	0	0	0	3.57324	2.14582	0	0	6.32511	5.20721	0	14.1217	7.12566	0	0	0	0	0	0	0	9.8856	0	3.08118	0	2.87225	0	0	0	12.5246	3.67159	0	3.00316	4.8124	0	0	0	0	0	0	0	0	4.81069	0	0	0	0	0	0	0	5.22564	1.98028	12.7835	0	0	0	4.3781	0	5.34332	0	0	0	2.21675	3.53165	0	4.54071	7.0056	6.29364	3.04832	0	0	0	1.92047	0	4.6654	0	0	3.0827	0	0	0	0	0	0	0	1.47344	6.29606	0	0	0	0	0	0	0	2.5113	0	0	0	0	0	0	0	0
"ENSMUST00000150509.2"	0	0	1.81197	0	0	0	0	0	0	0	0	0	0	0	1.76152	0	0	0.918138	0.121329	0	0	0	0	0	1.99445	0	0.846789	0	0	0	0.730206	0.77446	1.16197	0	0	0	0	0	0	0	0.816001	0	0.892838	1.07705	0	0	0	0	0	0.797199	0.685187	0	0	0	2.55893	0	1.00518	0	0.791983	0	0	0	0	1.35563	1.13559	1.96837	0	0.716617	2.07606	0	1.3129	1.63343	0	0	0	0.712601	0	2.86807	0	0	0.905039	0	0	0.853393	0	0	0	0.775629	0	0	0	0	1.65428	2.29989	0	3.07456	0	0	0	0	0	0	0	0	0.739148	0.802078	0	1.278	0	0	0	1.57098	0	2.01411	0	0	0.679568	0.925687	0	0	0.840395	0	0	0	0	0	1.05621	0.90145	0	0	2.29735	4.37106	3.36753	0	0	0	0	0	0	0.658788	0	0	0.716238	0	0.961136	0	0	0	0	0	0.751853	2.32282	0	0	0	4.1161	0.863502	0.873255	0	0	0	0	1.81266	0	0	2.70641	0.985217	0	0	1.87163	0	0.72006	0	0	0	0	0	0	0	0	0	1.90842	0	0.856061	0
"ENSMUST00000150564.1"	0	0	0	0	2.8367	0	0	0	0	0	0	0	2.51829	5.73232	2.89363	3.06869	0	0	2.90464	0	0	11.2743	2.60812	0	0	0	0	2.77651	0	3.0545	0	5.69447	0	0	0	7.66112	0	0	0	0	3.5186	0	0	0	2.98498	2.68829	0	0	0	0	0	0	0	0	2.30095	0	6.35186	0	5.35544	0	0	0	0	0	0	0	0	2.76862	0	0	0	0	0	2.98387	0	0	0	0	0	3.53994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.79574	3.33678	0	0	3.10531	0	0	9.90269	0	5.4214	0	0	0	0	10.3551	0	0	0	5.73894	0	0	3.17441	0	2.92892	0	0	0	0	0	2.98741	0	0	0	2.96909	0	0	0	6.46404	0	0	0	0	0	0	0	0	7.26305	3.03249	0	0	5.68834	5.97411	0	0	0	0	0	0	0	0	3.81419	0	0	0	0	0	2.76976	0	0	0	2.67868	0	0	3.41343	0	3.67916	7.60467	0	3.37077	0	0	5.95871	0	0
"ENSMUST00000150871.7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99158	2.72058	0.323402	0	0	0	0	5.28421	0	0	0.695697	0	0	2.05481	0	0.194371	0.704664	0	0	0	0.183981	1.01014	2.8054	0	0	0.635299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48091	0.360368	0	0	0	0	0.431135	0	0.220251	0	0	0	0	0	0	0	0	0	1.53769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.457178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84571	0	0	2.8148	0	0	0	0	1.49516	0	0	0	0	0	0	0	0	1.7696	0	0	0	1.23943	0	0	0	0	0	0	0	0	0	0.919278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUST00000151346.7"	25.2015	27.5351	43.563	21.8159	28.113	21.7794	2.14999	1.62511	13.6825	19.1041	14.0456	29.3716	20.0327	32.279	19.8521	20.5013	30.1705	16.4184	19.6645	26.0692	16.7695	17.6093	20.1681	21.4232	17.2251	15.5316	23.9691	20.1907	31.8831	19.3546	25.744	31.9832	25.9011	17.3202	20.6025	25.372	27.634	28.7295	19.3312	32.3866	20.3963	38.6299	27.3794	32.3681	24.9199	19.0577	25.0217	24.5459	22.5689	15.2122	20.7925	23.8068	24.0906	10.2678	26.4309	16.6	19.6468	21.9298	15.3378	29.3594	19.9745	24.4321	26.1581	24.7472	24.7997	19.017	25.238	29.0955	21.8553	22.6911	18.898	24.3658	21.4151	25.185	25.3246	34.1613	28.382	31.0937	32.8877	50.4916	26.296	27.2618	17.2559	13.0679	29.5654	25.2071	18.6378	22.8731	24.2797	27.2693	22.9719	13.6617	14.2801	19.702	2.79753	7.48678	9.2426	24.715	2.27756	10.0481	0	5.15243	13.9786	18.6137	11.977	7.06128	11.613	7.18399	11.3514	17.6984	12.7198	14.9213	12.3668	8.26344	12.2506	18.7965	14.6579	11.9664	10.1366	23.2058	17.7775	10.213	24.6114	10.3794	10.4967	13.5661	22.1158	7.7481	14.4551	7.58591	13.2518	9.59247	10.5145	23.0551	6.30296	14.846	6.3153	14.067	25.269	9.46035	8.99131	13.7935	14.5646	27.6077	16.1477	16.1788	8.61317	9.93441	17.3424	17.437	16.9024	17.6325	9.60741	13.0163	13.4834	8.3491	10.6775	20.0729	12.218	8.67523	14.0986	15.4453	20.6774	10.7687	15.5417	12.6712	17.0106	16.2275	8.5314	13.4719	12.3248	21.0481	6.62252	15.1562	18.471	27.372	16.3962	19.0389	15.1482	13.4681	10.7672	8.39962	11.2558	13.3844	20.2052
"ENSMUST00000151477.7"	1.70174	7.27901	0.148167	2.67172	5.2105	8.32104	4.06253	2.55748	7.98229	3.3212	3.71462	3.46818	3.19792	6.35058	2.35907	5.83047	8.90174	1.5664	4.56045	10.6146	4.56542	2.71721	2.182	2.96766	3.97585	2.99719	1.66511	4.00629	6.76311	6.76579	2.44182	6.10702	4.13943	2.77597	3.54712	5.59401	3.485	4.63108	10.9897	10.1125	6.76556	5.84954	8.13729	4.33039	3.55085	1.34567	3.59588	3.18717	3.74237	6.63582	1.32131	5.27728	4.81989	2.28229	3.67703	4.0515	2.5374	7.42111	1.94573	0.415312	1.49281	6.27533	7.11247	0.378271	3.79598	5.29429	6.17323	3.95559	4.36507	2.85765	7.31993	3.07858	4.31963	2.74126	1.86927	8.33524	3.72384	2.57683	7.33546	7.03172	7.47273	0.299688	1.79161	1.88885	1.87869	1.68093	1.24332	0.681381	2.48509	3.62462	5.71486	2.08348	2.40195	4.23282	5.86831	6.05725	10.5142	4.20111	2.20815	5.13685	0.0530548	9.14457	3.0648	4.11827	4.58382	3.82578	2.97653	8.22678	9.83335	5.15003	6.22998	4.31961	7.62893	5.56807	4.0877	3.51022	3.32955	1.87316	2.91098	4.4705	2.44609	3.60249	4.41536	6.68611	9.67289	5.30117	7.60045	7.57183	2.15412	7.23314	5.02022	6.45659	4.30223	5.61709	5.17954	3.7316	4.08293	2.52796	7.70583	3.96765	1.82548	8.2915	6.55813	4.75377	1.9884	5.04601	7.57709	3.01868	4.7623	4.62111	1.59585	5.09769	3.62685	3.33801	2.44568	3.34448	9.18939	1.23241	3.66945	6.39715	3.75731	1.37386	3.2432	6.31237	6.14797	5.31036	4.97327	2.66724	9.16488	1.82362	5.6512	6.02541	4.56317	2.77179	4.4965	4.09243	4.69621	10.5984	2.97067	5.45905	3.30266	10.3196	3.06957	2.46598	2.67302
"ENSMUST00000152247.7"	1.61383	3.22238	2.57053	2.18509	1.97697	6.75687	0.912067	1.0721	1.363	2.67915	1.41556	2.19334	2.75716	3.9181	0.984381	2.88695	3.9817	0.220538	3.8816	5.32305	3.12834	1.85126	1.07166	0.918577	1.10318	1.44876	0	4.48762	2.12506	4.15288	0.927723	3.19665	3.84137	2.55243	3.2144	2.75262	3.6159	5.52454	5.25706	5.51591	3.69212	3.29646	6.78314	6.31295	2.74016	1.45237	4.6514	1.50663	2.96088	2.94066	0.91983	0.737828	2.52273	3.01865	6.82834	2.19076	4.20665	3.87997	2.23179	1.18111	1.8191	2.29231	5.32778	0.399752	4.46989	1.26835	5.49754	3.98728	4.88727	2.88942	3.45079	1.29698	0.230808	0.878216	1.82361	5.1913	3.34754	1.43925	4.35147	2.53075	3.34022	0.623617	2.41075	0.590776	2.3951	2.94323	1.5321	1.03411	0.556686	3.78157	2.34489	2.57245	8.07516	5.87005	8.74496	11.4563	9.71061	7.77599	3.40882	5.82708	0	10.2128	8.28641	8.0797	5.81015	9.62982	7.64913	7.98464	12.0757	7.55916	8.28715	5.47847	12.7343	5.95703	5.60231	7.45645	6.57734	3.68168	10.3555	6.99748	5.85588	6.90019	6.07222	9.04009	8.40162	7.5718	7.2661	3.11025	5.46204	10.4017	5.28695	8.17316	1.45141	6.28665	9.33825	4.05129	6.76092	4.69255	9.16913	9.96772	10.1195	9.37182	10.9094	8.85771	6.04936	9.61728	8.01959	6.61153	3.68158	6.29934	2.88456	6.6466	4.72609	6.46041	3.89694	9.18532	10.2407	2.25567	4.06334	7.95427	7.02859	7.54866	4.80046	12.0517	9.90862	5.98948	7.82799	5.46171	13.113	2.44033	6.10224	6.40781	4.73448	7.12918	13.368	3.37186	5.90395	10.5324	3.29586	7.90695	6.90718	13.3348	2.27136	6.91642	6.30823
"ENSMUST00000152682.7"	0.0441857	0.559253	0	1.35573	0	5.98247	0	0	0	3.12784	0	3.65631	0	0.900651	3.43045	2.45206	0	0	0.628146	6.88415e-09	0	0.692046	0	0	0.0981255	0	0	0	0	0	0	0	2.33022	1.79033	0	4.23294	0.497755	2.91811	1.76946	0	0	0	0	0.627857	3.45498	0	0	0	0	0	0	0.233772	1.97903	2.54082	1.64809	3.49576	0	8.55558	0	0	0	0.939277	0.000442373	0	0.233414	5.87495e-06	0.000171496	3.36289	0.275219	0	0	0	0	0.0372127	0.389813	0	1.11214	0	0.0834686	4.94575	0.951486	4.63618	3.47253	0	0	0	0.131448	4.63187	2.28852e-05	0	0	0	1.07239e-07	0	0	0	0	0	5.92844e-07	0.29154	0	0.137772	0	0	0	1.63554	0	3.86567	0	0	0.975131	0	0	0.313846	0.881514	0	0	0	0	0	6.75784e-05	0	0	1.13146	1.62764	0	0	0.943679	0	0	0	1.21852	0	0	0	0	0	0	0	0	0	0.694891	0	0	0	0.796229	0.779046	0	0	0	0	0	0	0.809365	0.516171	3.15549	1.46881	0	1.56167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143931	0	0	0	0	0	0	0	0	0.595671	0	0
"ENSMUST00000153655.7"	19.2127	26.7198	14.358	9.81892	24.8486	30.5111	4.76391	2.74926	22.0947	2.49056e-05	17.1773	8.82475	0.106595	29.2729	7.51178	27.2308	3.21618	24.439	5.84713	42.944	10.4991	26.2606	8.52511	29.8138	11.7407	17.7049	12.9379	0.00055756	16.0299	25.8292	11.9717	9.282	23.3911	8.43524	11.5476	3.33346	8.13263	31.967	15.7934	0.00576091	15.3145	16.299	19.2579	21.8817	13.6652	24.0589	9.38658	14.2972	48.9219	20.3799	9.26153	20.9657	21.9532	16.6795	42.8642	18.5468	15.3343	26.7746	16.0124	20.1355	13.504	25.0508	9.49561	10.1665	11.1725	10.5987	29.5066	25.8978	30.6887	33.515	10.3178	10.7297	13.9702	10.1813	12.8381	17.7075	16.8534	27.0856	23.2646	8.14209	18.6509	25.8757	11.1655	4.78166	19.3805	2.24309	21.2436	31.6112	15.4558	23.7948	22.8241	17.5861	6.6907	6.53215e-06	4.92686	7.4227	8.44555	4.02556	0.383547	6.35663	13.0443	7.96614	8.56612	1.8017	0.000999095	0.00187758	6.27059	2.77656	9.46985	5.03841	6.19158	0	9.13846	0.0250792	9.57263	4.44268	6.07258e-07	7.19116	8.80695	8.97761	3.51877	7.60228	9.47542	13.3142	11.505	4.5686e-09	9.97	7.27847	2.75375	8.52386	0.14353	7.55427	3.87067	4.30553	5.15508e-08	4.78485	0.000217734	8.74726	0	10.0395	8.09969	7.66244	9.18719	11.6554	0.0101843	0.0225273	10.4171	2.46705	1.86878	0.0258522	3.83764	0.029843	5.48705	13.2166	1.84788e-05	0.000570635	10.5259	6.54626	8.07433e-07	4.20329	8.30749	10.5013	11.5316	0.00855763	0	13.974	7.28664	9.88195	14.8315	3.04632	2.46214	0	1.56728e-06	1.27544e-06	0.260748	10.6057	2.39384	14.8716	3.19103	21.448	8.53611e-06	10.1301	0	6.86386	3.65575
"ENSMUST00000153695.7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
